DBUID,empl.idx,pharm.idx,child.idx,health.idx,groc.idx,edupri.idx,edusec.idx,lib.idx,parks.idx,trans.idx,close,suppressed
35560272005,0.0023,,0.0082,0.0083,0.0791,0.1143,0.1208,0.0835,0.0797,,0,0
35560272006,0.0026,0.0086,0.0095,0.0075,0.1136,0.1302,0.108,0.1051,0.0594,,0,0
35560272007,0.0024,0.0075,0.0084,0.0105,0.0378,0.1241,0.1399,0.0886,0.0666,,0,0
35560272008,0.0025,0.0078,0.0087,0.0102,0.0436,0.126,0.1342,0.0931,0.0653,,0,0
35560272009,0.0023,,0.0068,0.0131,0.0236,0.1176,0.1594,0.0646,0.0755,,0,0
35560272010,0.0021,,0.0072,0.0102,0.0241,0.1076,0.1114,0.0687,0.087,,0,0
35560272011,0.0021,,,0.0125,0.0174,0.084,0.1292,0.0548,0.0874,,0,0
35560272012,0.002,,,0.0111,0.0182,0.0799,0.1078,0.0584,0.0978,,0,0
35560272013,0.0018,,,0.0097,0.0182,0.0811,0.0843,0.0577,0.0365,,0,0
35560272014,0.0022,,0.0075,0.009,0.0454,0.1087,0.1386,0.0733,0.103,,0,0
35560272015,0.0021,,,0.0099,0.0276,0.0763,0.1565,0.0603,0.1015,,0,0
35560272016,0.002,,0.0066,0.0091,0.0291,0.074,0.1245,0.0617,0.1542,,0,0
35560272017,0.0022,,0.0075,0.0108,0.0391,0.1144,0.1451,0.0742,0.0739,,0,0
35560272018,0.0021,,0.0066,0.0114,0.0252,0.083,0.1567,0.061,0.0884,,0,0
35560272019,0.0023,,0.0066,0.0139,0.0218,0.0951,0.1829,0.0624,0.0611,,0,0
35560272020,0.0024,,0.0069,0.0131,0.0241,0.1189,0.2251,0.0662,0.0712,,0,0
35560273002,0.0015,,,0.0083,0.0131,0.0571,0.1006,0.0401,0.0579,,0,0
35560273003,0.002,,,0.0181,,0.1277,0.1599,0.0378,0.0483,,0,0
35560273004,0.002,,,0.018,,0.2201,0.228,0.0386,0.0556,,0,0
35560273005,0.0019,,,0.0154,,0.2452,0.2308,0.0392,0.0453,,0,0
35560273006,,,,,,,,,,,0,1
35560273007,0.0018,,,0.0142,,0.1734,0.1767,,0.0375,,0,0
35560273008,0.0017,,,0.0115,,0.1798,0.1647,0.0365,0.0455,,0,0
35560273009,0.0018,,0.0067,0.0111,,0.2467,0.213,0.0413,0.0401,,0,0
35560273010,0.0017,,,0.0103,,0.1822,0.162,0.0401,0.0557,,0,0
35560273011,0.0017,,0.0069,0.0095,,0.1454,0.1314,0.0427,0.0385,,0,0
35560273012,0.0018,,0.0074,0.0102,,0.1799,0.1584,0.0456,0.0303,,0,0
35560273013,0.0018,,0.0081,0.0094,,0.1405,0.1296,0.0498,0.0233,,0,0
35560273014,0.0018,,0.0069,0.0122,,0.0957,0.1076,0.0427,0.0262,,0,0
35560273015,0.0016,,,0.0083,,0.1017,0.0948,0.0398,0.0371,,0,0
35560273016,0.0016,,,0.0088,,0.1143,0.1078,0.0376,0.0527,,0,0
35560273017,0.0014,,,0.0072,0.012,0.0507,0.0571,0.0378,0.0426,,0,0
35560273018,0.0018,,,0.018,,0.0468,0.1081,,0.0102,,0,0
35560274001,0.0001,,,,,,,,,,0,0
35560274002,0.0001,,,,,,,,,,0,0
35560274003,0.0001,,,,,,,,,,0,0
35560274004,0.0002,,,,,,,,,,0,0
35560274005,0.0001,,,,,,,,,,0,0
35560274010,0.0001,,,,,,,,,,0,0
35560274011,0.0002,,,,,,,,,,0,0
35560274012,0.0002,,,,,,,,,,0,0
35560274014,0.0002,,,,,,,,,,0,0
35560274021,,,,,,,,,,,0,0
35560274022,0.0001,,,,,,,,,,0,0
35560274023,0.0,,,,,,,,,,0,0
35560274026,0.0012,,,0.0068,,0.0361,0.0257,,0.0118,,0,0
35560274027,0.0016,,,0.0094,,0.1336,0.125,,0.1002,,0,0
35560274029,0.0001,,,,,,,,,,0,0
35560274030,0.0005,,,,,,,,,,0,0
