"Index","Facility_Name","Source_Facility_Type","ODCAF_Facility_Type","Provider","Unit","Street_No","Street_Name","Postal_Code","City","Prov_Terr","Source_Format_Address","CSD_Name","CSDUID","PRUID","Latitude","Longitude"
1,"#hashtag gallery",,"gallery","toronto",,801,"dundas st w","m6j1v2","toronto","on","801 dundas st w","Toronto","3520005","35",43.65169472,-79.40803272
2,"'ksan historical village & museum","historic site-building or park","museum","canadian museums association",,1500,"62 hwy","v0j1y0","hazelton","bc","1500 hwy 62 hazelton british columbia v0j 1y0 canada","Hazelton","5949022","59",55.2645508,-127.6428124
3,"'school days' museum","community/regional museum","museum","canadian museums association",,427,"queen st","e3b5r6","fredericton","nb","427 queen st fredericton new brunswick e3b 5r6 canada","Fredericton","1310032","13",45.963283,-66.6419017
4,"10 austin street","built heritage properties","heritage or historic site","moncton",,10,"austin st","e1c1z6","moncton","nb","10 austin st","Moncton","1307022","13",46.09247776,-64.78022946
5,"10 gates dancing inc.","arts","miscellaneous","ottawa",,,,,"ottawa","on",,"Ottawa","3506008","35",45.40856224,-75.71536766
6,"100 mile house branch","cariboo regional district library system","library or archives","government of british columbia",,449,"birch avenue s","v0k2e0","pender island","bc","449 s. birch avenue","One Hundred Mile House","5941005","59",51.64139,-121.29562
8,"114 alma st.","built heritage properties","heritage or historic site","moncton",,114,"alma st",,"moncton","nb","114 alma st","Moncton","1307022","13",46.09186844,-64.77860387
9,"118 mountain road","built heritage properties","heritage or historic site","moncton",,118,"mountain rd","e1c2k7","moncton","nb","118 mountain rd","Moncton","1307022","13",46.09448386,-64.77990581
10,"12 service battalion museum","military museum or fort","museum","canadian museums association",,5500,"no 4 rd","v6x3l5","richmond","bc","5500 no. 4 rd the sherman armoury richmond british columbia v6x 3l5 canada","Richmond","5915015","59",49.1763542,-123.112783
11,"134 church street","built heritage properties","heritage or historic site","moncton",,134,"church st","e1c4z6","moncton","nb","134 church st","Moncton","1307022","13",46.09253232,-64.77997633
12,"14 church street","built heritage properties","heritage or historic site","moncton",,14,"church st",,"moncton","nb","14 church st","Moncton","1307022","13",46.08876763,-64.77824948
13,"140 church street","built heritage properties","heritage or historic site","moncton",,140,"church st","e1c4z7","moncton","nb","140 church st","Moncton","1307022","13",46.09283005,-64.78014878
14,"149 john street","built heritage properties","heritage or historic site","moncton",,149,"john st","e1c2h5","moncton","nb","149 john st","Moncton","1307022","13",46.09346338,-64.79230349
15,"15th field artillery regiment museum and archives","museum/gallery","museum","vancouver",,2025,"11th av w","v6j2c7","vancouver","bc","2025 w 11th av vancouver bc v6j 2c7","Vancouver","5915022","59",49.261938,-123.151123
17,"169 botsford street","built heritage properties","heritage or historic site","moncton",,169,"botsford st","e1c4x4","moncton","nb","169 botsford st","Moncton","1307022","13",46.09388049,-64.77768348
18,"17 wing heritage collection","aeronautics and space museum transportation museum","museum","canadian museums association",,,,"r3j3y5","winnipeg","mb","air heritage park air force way winnipeg manitoba r3j 3y5 canada","Winnipeg","4611040","46",49.88955855,-97.23574396
19,"1810 carter house","historic site-building or park","heritage or historic site","canadian museums association",,874,"kingston route","e5n1r7","kingston","nb","874 route 845 kingston new brunswick e5n 1r7 canada","Kingston","1305014","13",45.3951606,-66.0684098
20,"1916 city hall façade","built heritage properties","heritage or historic site","moncton",,20,"mountain rd",,"moncton","nb","20 mountain rd","Moncton","1307022","13",46.093938,-64.77467849
21,"2 for art","non-commercial art museums and galleries","museum","mississauga",,177,"lakeshore rd e","l5g4t9","mississauga","on","177 lakeshore rd e","Mississauga","3521005","35",43.55602758,-79.58047695
22,"2 of 2 gallery, pari nadimi gallery",,"gallery","toronto",,254,"niagara st","m6j2l8","toronto","on","254 niagara st","Toronto","3520005","35",43.64500353,-79.4090195
23,"201 queen street","built heritage properties","heritage or historic site","moncton",,201,"queen st","e1c1l3","moncton","nb","201 queen st","Moncton","1307022","13",46.08907927,-64.78186587
24,"221a artist run centre","museum/gallery","museum","vancouver",,221,"georgia st e","v6a1z6","vancouver","bc","221 e georgia st vancouver bc v6a 1z6","Vancouver","5915022","59",49.278786,-123.098796
25,"224 cameron street","built heritage properties","heritage or historic site","moncton",,224,"cameron st","e1c5z3","moncton","nb","224 cameron st","Moncton","1307022","13",46.09209779,-64.79058461
26,"264 botsford street","built heritage properties","heritage or historic site","moncton",,264,"botsford st",,"moncton","nb","264 botsford st","Moncton","1307022","13",46.0969501,-64.77766022
27,"26th field artillery regiment 12th manitoba dragoons rca museum","military museum or fort","museum","canadian museums association",,1116,"victoria ave","r7a1b2","brandon","mb","1116 victoria ave brandon manitoba r7a 1b2 canada","Brandon","4607062","46",49.842132,-99.9391497
28,"27 hillcrest drive","built heritage properties","heritage or historic site","moncton",,27,"hillcrest dr","e1e1v9","moncton","nb","27 hillcrest dr","Moncton","1307022","13",46.08380106,-64.79575819
29,"31 service battalion",,"miscellaneous","canadian museums association",,650,"catherine st n","l8l4v7","hamilton","on","650 catherine st. n. hamilton on l8l 4v7","Hamilton","3525005","35",43.274678,-79.855634
30,"337 sketch gallery",,"gallery","hamilton",,337,"ottawa st n","l8h3z8","hamilton","on","337 ottawa st n, hamilton, on l8h 3z8","Hamilton","3525005","35",43.251424,-79.816402
31,"42nd field regiment lanark & renfrew (1st air defence regiment) scottish rca regimental museum",,"museum","canadian museums association",,177,"victoria st","k8a4k2","pembroke","on","177 victoria st pembroke on k8a 4k2","Pembroke","3547064","35",45.8268694,-77.1134778
32,"47 fleet street","built heritage properties","heritage or historic site","moncton",,47,"fleet st","e1c1s1","moncton","nb","47 fleet st","Moncton","1307022","13",46.09006201,-64.78490829
33,"48th highlanders museum","historical society military museum or fort","museum","canadian museums association",,73,"simcoe street","m5j1w9","toronto","on","73 simcoe street toronto ontario m5j 1w9 canada","Toronto","3520005","35",43.6471644,-79.38556364
34,"5(bc) regiment rca museum and archives",,"museum","canadian museums association",304,715,"bay street","v8t1r1","victoria","bc","715 bay st bay street armoury room 304 victoria british columbia v8t 1r1 canada","Victoria","5917034","59",,
35,"5-11 williams street","built heritage properties","heritage or historic site","moncton",,11,"williams st","e1c2g1","moncton","nb","11 williams st","Moncton","1307022","13",46.09414921,-64.78519446
36,"50 centuries cultures society inc",,"miscellaneous","canadian museums association",84,92,"michael's drive","a0k1l0","bird cove","nl","84-92 michael's drive bird cove newfoundland & labrador a0k 1l0 canada","Bird Cove","1009026","10",,
37,"69 highfield street","built heritage properties","heritage or historic site","moncton",,69,"highfield st","e1c5n4","moncton","nb","69 highfield st","Moncton","1307022","13",46.08887003,-64.78480708
38,"70 reade street","built heritage properties","heritage or historic site","moncton",,70,"reade st","e1c6s2","moncton","nb","70 reade st","Moncton","1307022","13",46.1007607,-64.80063191
39,"72 botsford street","built heritage properties","heritage or historic site","moncton",,72,"botsford st","e1c4x1","moncton","nb","72 botsford st","Moncton","1307022","13",46.09087808,-64.77695599
40,"73 highfield street","built heritage properties","heritage or historic site","moncton",,73,"highfield st","e1c5n4","moncton","nb","73 highfield st","Moncton","1307022","13",46.08895397,-64.78482417
41,"7302754 canada inc","artist making fine art and exhibiting in galleries","gallery","burnaby",,6909,"mckay av",,"burnaby","bc","6909 mckay av","Burnaby","5915025","59",49.2210003,-123.0091848
42,"75 st. george street","built heritage properties","heritage or historic site","moncton",,75,"george st","e1c1t5","moncton","nb","75 st george st","Moncton","1307022","13",46.09289476,-64.77561797
43,"86 botsford street","built heritage properties","heritage or historic site","moncton",,86,"botsford st","e1c4x3","moncton","nb","86 botsford st","Moncton","1307022","13",46.09139359,-64.77725037
44,"86 weldon street","built heritage properties","heritage or historic site","moncton",,86,"weldon st","e1c5w2","moncton","nb","86 weldon st","Moncton","1307022","13",46.08830065,-64.78745899
45,"88 church street","built heritage properties","heritage or historic site","moncton",,88,"church st","e1c4z5","moncton","nb","88 church st","Moncton","1307022","13",46.09103641,-64.77958106
47,"8th hussars museum",,"museum","canadian museums association",3,66,"broad st","e4e5s2","sussex","nb","66 broad st -unit 3 sussex new brunswick e4e 5s2 canada","Sussex","1305022","13",,
49,"91 steadman street","built heritage properties","heritage or historic site","moncton",,91,"steadman st","e1c4p5","moncton","nb","91 steadman st","Moncton","1307022","13",46.0928285,-64.77292773
50,"9th line baptist church","museum","museum","markham",,9350,"markham rd",,"markham","on","9350 markham rd","Markham","3519036","35",43.89380235,-79.26684341
51,"ès trad - living heritage center","art gallery","gallery","province of québec",,5,"rue cul de sac","g1k4h6","québec","qc","5, rue cul-de-sac","Québec","2423027","24",46.812477,-71.202943
53,"école de ballet de saint-hubert",,"theatre/performance and concert hall","longueuil",,,,"j3y9a9","longueuil","qc","cp 29535 carrefour saint-hubert , saint-hubert, j3y9a9","Longueuil","2458227","24",,
54,"école de design industriel de la faculté de l'aménagement de l'université de montréal",,"miscellaneous","canadian museums association",,2940,"chemin côte sainte-catherine","h3t1b9","montréal","qc","pavillon de la faculté de l'aménagement université de montréal 2940 chemin côte sainte-catherine montréal québec h3t 1b9 canada","Montréal","2466023","24",,
55,"école du rang ii d'authier","community/regional museum historic site-building or park","museum","canadian museums association",,269,"rang ii","j0z1c0","authier","qc","269 rang ii (route 111 authier) authier québec j0z 1c0 canada","Authier","2487050","24",,
56,"écomusée d'anticosti","community/regional museum","museum","canadian museums association",,1,"rue du-couvent","g0g2y0","port menier","qc","1 rue du couvent port-menier québec g0g 2y0 canada","L'Île-d'Anticosti","2498020","24",49.8187405,-64.3521419
57,"écomusée de hearst ecomuseum",,"museum","canadian museums association",,631,"front street","p0l1n0","hearst","on","631 front street hearst ontario p0l 1n0 canada","Hearst","3556076","35",49.6888667,-83.6595109
58,"écomusée de la mi-carême","museum / historic site","museum","province of québec",4,2,"ch ernest","g4t2w5","les-îles-de-la madeleine","qc","04-2, ch. ernest","Les Îles-de-la-Madeleine","2401023","24",47.403476,-61.899131
61,"écomusée du fier monde",,"museum","province of québec",,2050,"rue amherst","h2l3l8","montréal","qc","2050, rue amherst","Montréal","2466023","24",45.520179,-73.563753
62,"économusée","museum and art galleries","museum","ottawa",,,,,"gatineau","on",,"Gatineau","2481017","24",45.42987036,-75.72678606
63,"église évangélique arménienne","église","miscellaneous","montréal",,11455,"rue drouart","h3m2s6","montréal","qc","11455, rue drouart","Montréal","2466023","24",45.5363408,-73.6873676
64,"église de la purification-de-la-bienheureuse-vierge-marie","arts, lettres et culture","miscellaneous","repentigny",,445,"rue notre-dame",,"repentigny","qc","445 rue notre-dame, repentigny","Repentigny","2460013","24",45.73907497,-73.44713199
66,"église de la visitation-de-la-bienheureuse-vierge-marie","église","miscellaneous","montréal",,1847,"boulevard gouin est","h2c1c8","montréal","qc","1847, boulevard gouin est","Montréal","2466023","24",45.570398,-73.6603942
67,"église de sainte-geneviève de berthier","historic site-building or park religious museum","museum","canadian museums association",,780,"rue montcalm","j0k1a0","berthierville","qc","780 rue montcalm berthierville québec j0k 1a0 canada","Berthierville","2452035","24",46.0811004,-73.17849063
68,"église historique de barachois","art gallery community/regional museum historic site-building or park","museum","canadian museums association",,1350,"133 route","e4p8g7","grand barachois","nb","1350 route 133 grand-barachois new brunswick e4p 8g7 canada",,,"13",,
69,"église jean xxiii","église","miscellaneous","montréal",,7101,"de-l'alsace avenue","h1j2k5","montréal","qc","7101, avenue de l'alsace","Montréal","2466023","24",45.6044108,-73.5821982
70,"église marie-reine-de-la-paix","église","miscellaneous","montréal",,11075,"boulevard gouin ouest","h8y1x6","montréal","qc","11075, boulevard gouin ouest","Montréal","2466023","24",45.5109589,-73.8141179
72,"église notre-dame-des-champs","arts, lettres et culture","miscellaneous","repentigny",,187,"boulevard iberville",,"repentigny","qc","187 boulevard iberville, repentigny","Repentigny","2460013","24",45.72113471,-73.47029554
73,"église notre-dame-des-sept-douleurs","église","miscellaneous","montréal",,4155,"rue wellington","h4g1v8","montréal","qc","4155, rue wellington","Montréal","2466023","24",45.4627187,-73.5670442
75,"église précieux-sang","arts, lettres et culture","miscellaneous","repentigny",,115,"rue chauveau",,"repentigny","qc","115 rue chauveau, repentigny","Repentigny","2460013","24",45.75887707,-73.43955207
