facility_name,index,source_facility_type,odhf_facility_type,provider,unit,street_no,street_name,postal_code,city,province,source_format_str_address,CSDname,CSDuid,Pruid,latitude,longitude
advanced facial & nasal surgery centre,1,active acute hospital,Hospitals,Canadian Institute for Health Information,,,,T5M4G5,edmonton,ab,,Edmonton,,48,,
agecare — beverly centre glenmore,2,long term care,Nursing and residential care facilities,Canadian Institute for Health Information,,,,T2V4S1,calgary,ab,,Calgary,,48,,
agecare — beverly centre lake midnapore,3,long term care,Nursing and residential care facilities,Canadian Institute for Health Information,,,,T2X3S3,calgary,ab,,Calgary,,48,,
agecare — sagewood seniors community inc,4,long term care,Nursing and residential care facilities,Canadian Institute for Health Information,,,,T1P0E2,strathmore,ab,,Strathmore,,48,,
agecare — seton,5,long term care,Nursing and residential care facilities,Canadian Institute for Health Information,,,,T3M2M3,calgary,ab,,Calgary,,48,,
agecare — skypointe,6,long term care,Nursing and residential care facilities,Canadian Institute for Health Information,,,,T3N0Y7,calgary,ab,,Calgary,,48,,
agecare — valleyview,7,long term care,Nursing and residential care facilities,Canadian Institute for Health Information,,,,T1A7K5,medicine hat,ab,,Medicine Hat,,48,,
agecare — walden heights seniors community,8,long term care,Nursing and residential care facilities,Canadian Institute for Health Information,,,,T2X0V1,calgary,ab,,Calgary,,48,,
airdrie community health centre,9,active acute hospital,Hospitals,Canadian Institute for Health Information,,,,T4B3K7,airdrie,ab,,Airdrie,,48,,
alberta children's hospital,10,pediatric,Hospitals,Public Health Agency of Canada,,2888,shaganappi trail nw,T3B6A8,calgary,ab,2888 shaganappi trail n.w. calgary ab t3b 6a8,Calgary,4806016,48,51.1267877,-114.1329645
alberta hip and knee clinic,11,other,Ambulatory health care services,Canadian Institute for Health Information,,,,T5E5R8,edmonton,ab,,Edmonton,,48,,
alberta hospital edmonton,12,psychiatric,Hospitals,Public Health Agency of Canada,,17480,fort rd,T5J2J7,edmonton,ab,17480 fort rd. edmonton ab t5j 2j7,Edmonton,4811061,48,53.636387,-113.374023
alberta surgical centre,13,active acute hospital,Hospitals,Canadian Institute for Health Information,,,,T5M3Z7,edmonton,ab,,Edmonton,,48,,
allen gray continuing care centre,14,long term care,Nursing and residential care facilities,Canadian Institute for Health Information,,,,T6L7G1,edmonton,ab,,Edmonton,,48,,
athabasca healthcare centre,15,general,Hospitals,Public Health Agency of Canada,,3100,48 ave,T9S1M9,athabasca,ab,3100 - 48th ave. athabasca ab t9s 1m9,Athabasca,4813048,48,54.71724,-113.254056
audrey chan professional corporation,16,active acute hospital,Hospitals,Canadian Institute for Health Information,,,,T5J3S9,edmonton,ab,,Edmonton,,48,,
barrhead community cancer centre,17,,Hospitals,Province of Alberta,,4815,51 avenue,T7N1M1,barrhead,ab,"4815 – 51 avenue barrhead, alberta, t7n 1m1",Barrhead,4813019,48,54.1196258,-114.4015147
barrhead healthcare centre,18,general,Hospitals,Public Health Agency of Canada,,4815,51 ave,T7N1M1,barrhead,ab,4815 - 51st ave. barrhead ab t7n 1m1,Barrhead,4813019,48,54.1197041,-114.4001676
"barry lycka md, cosmetic dermatologist",19,active acute hospital,Hospitals,Canadian Institute for Health Information,,,,T5J3S9,edmonton,ab,,Edmonton,,48,,
bashaw care centre,20,active acute hospital,Hospitals,Canadian Institute for Health Information,,,,T0B0H0,bashaw,ab,,Bashaw,,48,,
bassano health centre,21,general,Hospitals,Public Health Agency of Canada,,608,5 ave,T0J0B0,bassano,ab,608 - 5th ave. bassano ab t0j 0b0,Bassano,4802039,48,50.7892616,-112.461057
beaverlodge municipal hospital,22,general,Hospitals,Public Health Agency of Canada,,422,10a st,T0H0C0,beaverlodge,ab,422 - 10a st. beaverlodge ab t0h 0c0,Beaverlodge,4819009,48,55.2136098,-119.4240928
bentley care centre,23,extended care,Hospitals,Public Health Agency of Canada,,4834,52 ave,T0C0J0,bentley,ab,4834 - 52nd ave. bentley ab t0c 0j0,Bentley,4808026,48,52.467744,-114.04616
bethany care society — bethany airdrie,24,long term care,Nursing and residential care facilities,Canadian Institute for Health Information,,,,T4B2C4,airdrie,ab,,Airdrie,,48,,
bethany care society — bethany calgary,25,long term care,Nursing and residential care facilities,Canadian Institute for Health Information,,,,T2N1C6,calgary,ab,,Calgary,,48,,
bethany care society — bethany cochrane,26,long term care,Nursing and residential care facilities,Canadian Institute for Health Information,,,,T4C1X9,cochrane,ab,,Cochrane,,48,,
bethany care society — bethany collegeside,27,long term care,Nursing and residential care facilities,Canadian Institute for Health Information,,,,T4R0M3,red deer,ab,,Red Deer,,48,,
bethany care society — bethany harvest hills,28,long term care,Nursing and residential care facilities,Canadian Institute for Health Information,,,,T3K4Y1,calgary,ab,,Calgary,,48,,
bethany care society — bethany riverview,29,long term care,Nursing and residential care facilities,Canadian Institute for Health Information,,,,T2B2W6,calgary,ab,,Calgary,,48,,
bethany care society — bethany sylvan lake,30,long term care,Nursing and residential care facilities,Canadian Institute for Health Information,,,,T4S2M3,sylvan lake,ab,,Sylvan Lake,,48,,
big country health centre,31,general,Hospitals,Public Health Agency of Canada,,312,3 ave e,T0J2J0,oyen,ab,312 - 3rd ave. e. oyen ab t0j 2j0,McLennan,4819042,48,55.710472,-116.914222
big country hospital,32,,Hospitals,Province of Alberta,,312,3 avenue e,T0J2J0,oyen,ab,"312 3rd avenue e., oyen, alberta, t0j 2j0",Oyen,4804014,48,51.351585,-110.478813
bonnyville community cancer centre,33,,Hospitals,Province of Alberta,,,,T9N2J7,bonnyville,ab,"bonnyville, alberta, t9n 2j7",Bonnyville,4812009,48,54.26373,-110.7393
bonnyville health centre,34,general,Hospitals,Public Health Agency of Canada,,5001,lakeshore dr,T9N2J7,bonnyville,ab,5001 lakeshore dr. bonnyville ab t9n 2j7,Bonnyville,4812009,48,54.2637533,-110.7414916
bonnyville healthcare centre,35,,Ambulatory health care services,Province of Alberta,,5001,lakeshore drive,T9N2J7,bonnyville,ab,"5001 lakeshore drive, bonnyville, alberta, t9n 2j7",Bonnyville,4812009,48,54.26373,-110.7393
bow island health centre,36,general,Hospitals,Public Health Agency of Canada,,938,centre st,T0K0G0,bow island,ab,938 centre st. bow island ab t0k 0g0,Bow Island,4801014,48,49.8655484,-111.3793987
bow valley community cancer centre,37,,Hospitals,Province of Alberta,,1100,hospital place,T1W1N2,canmore,ab,"1100 hospital place canmore, alberta, t1w 1n2",Canmore,4815023,48,51.092455,-115.35172
boyle healthcare centre,38,,Hospitals,Canadian Institute for Health Information,,5004,lakeview road,T0A0M0,boyle,ab,5004 lakeview road boyle ab t0a0m0 canada,Boyle,4813046,48,54.588366,-112.801974
