Index,DataSource,ImageDate,Latitude,Longitude,PRUID,PROV_TERR,CSDUID
1,Ontario Ministry of Natural Resources and Forestry,2018,43.99952686,-77.20949538,35,Ontario,3513020
2,Ontario Ministry of Natural Resources and Forestry,2018,43.99958724,-77.20983855,35,Ontario,3513020
3,Ontario Ministry of Natural Resources and Forestry,2018,43.9815537,-77.20957582,35,Ontario,3513020
4,Ontario Ministry of Natural Resources and Forestry,2018,43.98152884,-77.20946829,35,Ontario,3513020
5,Ontario Ministry of Natural Resources and Forestry,2018,43.99381034,-77.17410497,35,Ontario,3513020
6,Ontario Ministry of Natural Resources and Forestry,2018,43.99368955,-77.1738116,35,Ontario,3513020
7,Ontario Ministry of Natural Resources and Forestry,2018,43.99382417,-77.17342713,35,Ontario,3513020
8,Ontario Ministry of Natural Resources and Forestry,2018,43.99389049,-77.17338674,35,Ontario,3513020
9,Ontario Ministry of Natural Resources and Forestry,2018,43.99399964,-77.17361466,35,Ontario,3513020
10,Ontario Ministry of Natural Resources and Forestry,2018,43.99391275,-77.17462232,35,Ontario,3513020
11,MDA Geospatial Services Inc.,2020,44.03795398,-79.61543197,35,Ontario,3543014
12,MDA Geospatial Services Inc.,2020,44.03786605,-79.61539688,35,Ontario,3543014
13,MDA Geospatial Services Inc.,2020,44.03776993,-79.61536799,35,Ontario,3543014
14,MDA Geospatial Services Inc.,2020,44.03767827,-79.61534562,35,Ontario,3543014
15,MDA Geospatial Services Inc.,2020,44.03757826,-79.61532058,35,Ontario,3543014
16,MDA Geospatial Services Inc.,2020,44.03748922,-79.61530755,35,Ontario,3543014
17,MDA Geospatial Services Inc.,2020,44.03739199,-79.61527733,35,Ontario,3543014
18,MDA Geospatial Services Inc.,2020,44.03731055,-79.61526297,35,Ontario,3543014
19,MDA Geospatial Services Inc.,2020,44.03880098,-79.61477608,35,Ontario,3543014
20,MDA Geospatial Services Inc.,2020,44.02149095,-79.63123822,35,Ontario,3519049
21,MDA Geospatial Services Inc.,2020,44.0214476,-79.63118103,35,Ontario,3519049
22,MDA Geospatial Services Inc.,2020,44.02141728,-79.63114525,35,Ontario,3519049
23,MDA Geospatial Services Inc.,2020,44.03099422,-79.62181869,35,Ontario,3543014
24,MDA Geospatial Services Inc.,2020,44.0309123,-79.62188169,35,Ontario,3543014
25,MDA Geospatial Services Inc.,2020,44.03077987,-79.62198685,35,Ontario,3543014
26,MDA Geospatial Services Inc.,2020,44.03067932,-79.62198808,35,Ontario,3543014
27,MDA Geospatial Services Inc.,2020,44.02771857,-79.60721559,35,Ontario,3519049
28,MDA Geospatial Services Inc.,2020,44.02885704,-79.60589295,35,Ontario,3519049
29,MDA Geospatial Services Inc.,2020,44.0300119,-79.60639583,35,Ontario,3519049
30,MDA Geospatial Services Inc.,2020,44.02902467,-79.60727692,35,Ontario,3519049
31,MDA Geospatial Services Inc.,2020,44.03575972,-79.60978411,35,Ontario,3519049
32,MDA Geospatial Services Inc.,2020,44.03515145,-79.60959315,35,Ontario,3519049
33,MDA Geospatial Services Inc.,2020,44.04006932,-79.60883938,35,Ontario,3519049
34,MDA Geospatial Services Inc.,2020,44.04887163,-79.60760316,35,Ontario,3543014
35,MDA Geospatial Services Inc.,2020,44.02455264,-79.619742,35,Ontario,3519049
36,MDA Geospatial Services Inc.,2020,44.02499436,-79.61769473,35,Ontario,3519049
37,MDA Geospatial Services Inc.,2020,44.02491812,-79.61769066,35,Ontario,3519049
38,MDA Geospatial Services Inc.,2020,44.02483543,-79.61768467,35,Ontario,3519049
39,MDA Geospatial Services Inc.,2020,44.02475707,-79.61766847,35,Ontario,3519049
40,MDA Geospatial Services Inc.,2020,44.02468129,-79.61766212,35,Ontario,3519049
41,MDA Geospatial Services Inc.,2020,44.02770222,-79.60625985,35,Ontario,3519049
42,MDA Geospatial Services Inc.,2020,44.04996018,-79.61274414,35,Ontario,3543014
43,MDA Geospatial Services Inc.,2020,44.04988549,-79.61269976,35,Ontario,3543014
44,MDA Geospatial Services Inc.,2020,44.04983077,-79.61264952,35,Ontario,3543014
45,MDA Geospatial Services Inc.,2020,44.04976375,-79.61261097,35,Ontario,3543014
46,MDA Geospatial Services Inc.,2020,44.05003742,-79.61233797,35,Ontario,3543014
47,MDA Geospatial Services Inc.,2020,44.04997023,-79.61229032,35,Ontario,3543014
48,MDA Geospatial Services Inc.,2020,44.04989858,-79.61224539,35,Ontario,3543014
49,MDA Geospatial Services Inc.,2020,44.04601266,-79.61023506,35,Ontario,3519049
50,MDA Geospatial Services Inc.,2020,44.04599043,-79.61035077,35,Ontario,3519049
51,MDA Geospatial Services Inc.,2020,44.04596557,-79.61045754,35,Ontario,3519049
52,MDA Geospatial Services Inc.,2020,44.04594174,-79.6105618,35,Ontario,3519049
53,MDA Geospatial Services Inc.,2020,44.04591744,-79.61066942,35,Ontario,3519049
54,MDA Geospatial Services Inc.,2020,44.04589635,-79.61077772,35,Ontario,3519049
55,MDA Geospatial Services Inc.,2020,44.04587374,-79.6108827,35,Ontario,3519049
56,MDA Geospatial Services Inc.,2020,44.04585129,-79.61098394,35,Ontario,3519049
57,MDA Geospatial Services Inc.,2020,44.04554552,-79.61084922,35,Ontario,3519049
58,MDA Geospatial Services Inc.,2020,44.04556688,-79.61074224,35,Ontario,3519049
59,MDA Geospatial Services Inc.,2020,44.04558657,-79.61063331,35,Ontario,3519049
60,MDA Geospatial Services Inc.,2020,44.04560845,-79.61052321,35,Ontario,3519049
61,MDA Geospatial Services Inc.,2020,44.03784886,-79.62891213,35,Ontario,3543014
62,MDA Geospatial Services Inc.,2020,44.03729993,-79.62875474,35,Ontario,3543014
63,MDA Geospatial Services Inc.,2020,44.03665175,-79.62854795,35,Ontario,3543014
64,MDA Geospatial Services Inc.,2020,44.03578193,-79.63126005,35,Ontario,3543014
65,MDA Geospatial Services Inc.,2020,44.05338676,-79.60688456,35,Ontario,3543014
66,MDA Geospatial Services Inc.,2020,44.05306552,-79.60665447,35,Ontario,3543014
67,MDA Geospatial Services Inc.,2020,44.05289786,-79.6066128,35,Ontario,3543014
68,MDA Geospatial Services Inc.,2020,44.05284388,-79.60628312,35,Ontario,3543014
69,MDA Geospatial Services Inc.,2020,44.02962552,-79.63433037,35,Ontario,3543014
70,MDA Geospatial Services Inc.,2020,44.02959239,-79.63447229,35,Ontario,3543014
71,MDA Geospatial Services Inc.,2020,44.02956478,-79.63460474,35,Ontario,3543014
72,MDA Geospatial Services Inc.,2020,44.02931517,-79.63435838,35,Ontario,3543014
