facility_name,index,source_facility_type,odhf_facility_type,provider,unit,street_no,street_name,postal_code,city,province,source_format_str_address,CSDname,CSDuid,Pruid,latitude,longitude
Advanced Facial & Nasal Surgery Centre,1,other,Ambulatory health care services,Canadian Institute for Health Information,,,,T5M 4G5,edmonton,ab,,Edmonton,,48,,
Alberta Children's Hospital,10,pediatric,Hospitals,Public Health Agency of Canada,,28,Oki Dr NW,T3B 6A8,calgary,ab,28 Oki Dr NW,Calgary,4806016,48,51.074582,-114.148426
Devon General Hospital,100,general,Hospitals,Public Health Agency of Canada,,101,erie st s,T9G 1A6,devon,ab,101 erie st. s. devon ab t9g 1a6,Devon,4811018,48,53.351493,-113.730785
Kimbelee Place,1000,,Nursing and residential care facilities,Province of British Columbia,,12935,96 ave,V3V 7K6,surrey,bc,12935 96th ave surrey bc v3v 7k6,Surrey,5915004,59,49.177418,-122.864118
Kimberley Special Care Home,1001,,Nursing and residential care facilities,Province of British Columbia,,386,2 ave,V1A 2Z6,kimberley,bc,386 2 ave kimberley bc v1a 2z6,Kimberley,5901028,59,49.6899979,-115.9896466
Kinetic Energy Health and Wellness Centre,1002,,Ambulatory health care services,Province of British Columbia,,207-450,lansdowne street,V2C 1Y4,kamloops,bc,207-450 lansdowne street kamloops bc v2c 1y4,Kamloops,5933042,59,50.67706,-120.3295
King Edward House,1003,,Nursing and residential care facilities,Province of British Columbia,,820,e king edward ave,V5V 2E4,vancouver,bc,820 e king edward ave vancouver bc v5v 2e4,Vancouver,5915022,59,49.2483529,-123.0870448
Kingfisher Place,1004,,Nursing and residential care facilities,Province of British Columbia,,4328,crystal drive,V1T 8V5,vernon,bc,4328 crystal drive vernon bc v1t 8v5,Vernon,5937014,59,50.2761527,-119.2445371
Kinghaven Treatment Centre,1005,,Nursing and residential care facilities,Province of British Columbia,,31250,king rd,V2T 6C2,abbotsford,bc,31250 king rd abbotsford bc v2t 6c2,Abbotsford,5909052,59,49.0307485,-122.358792
Kings House,1006,,Nursing and residential care facilities,Province of British Columbia,,8512,164 st,V4N 1E5,surrey,bc,8512 164th st surrey bc v4n 1e5,Surrey,5915004,59,49.157599,-122.767254
Kinsmen Lodge,1007,,Nursing and residential care facilities,Province of British Columbia,,9650,137a st,V3T 4H9,surrey,bc,9650 137a st surrey bc v3t 4h9,Surrey,5915004,59,49.1777346,-122.8417995
Kinvillage,1009,,Nursing and residential care facilities,Province of British Columbia,,5410,10 ave,V4M 3X8,delta,bc,5410 10th ave delta bc v4m 3x8,Delta,5915011,59,49.0214852,-123.073648
Didsbury District Health Services,101,general,Hospitals,Public Health Agency of Canada,,1210,20 ave,T0M 0W0,didsbury,ab,1210 - 20th ave. didsbury ab t0m 0w0,Didsbury,4806032,48,51.661795,-114.123674
Kitimat Hospital & Health Centre,1012,general,Hospitals,Public Health Agency of Canada,,920,lahakas blvd s,V8C 2S3,kitimat,bc,920 lahakas blvd. s. kitimat bc v8c 2s3,Kitimat,5949005,59,54.0504835,-128.6472372
Kiwanis Care Centre,1013,,Nursing and residential care facilities,Province of British Columbia,,35,clute st,V3L 1Z5,new westminster,bc,35 clute st new westminster bc v3l 1z5,New Westminster,5915029,59,49.2232118,-122.9150878
Kiwanis Care Centre North Vancouver,1015,long term care,Nursing and residential care facilities,Canadian Institute for Health Information,,,,V7H 3A5,north vancouver,bc,,North Vancouver,,59,,
Kiwanis Village Lodge,1017,,Nursing and residential care facilities,Province of British Columbia,,1221,kiwanis cres,V9S 5Y1,nanaimo,bc,1221 kiwanis cres nanaimo bc v9s 5y1,Nanaimo,5921007,59,49.186109,-123.96893
Knutsford Group Home,1018,,Nursing and residential care facilities,Province of British Columbia,,3161,merritt princeton highway 5a,V0E 2A0,knutsford,bc,3161 merritt princeton highway 5a knutsford bc v0e 2a0,Thompson-Nicola L (Grasslands),5933060,59,50.603467,-120.3104439
